新規求人数（新規学卒者を除きパートタイムを含む）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者を除きパートタイムを含む）【季節調整値】,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",
,75年,50年,"385,099 ","405,166 ","484,278 ","390,254 ","318,120 ","279,301 ","300,389 ","347,033 ","391,702 ","338,215 ","231,391 ","191,861 ","424,848 ","329,225 ","346,375 ","253,822 ","338,567 ","334,715 ",,75年,50年,"349,651 ","368,410 ","388,872 ","344,599 ","321,790 ","319,191 ","319,859 ","322,438 ","327,684 ","315,388 ","320,757 ","329,985 ","368,978 ","328,527 ","323,327 ","322,043 ",
,76年,51年,"363,997 ","387,875 ","476,446 ","408,370 ","336,206 ","320,374 ","319,361 ","383,872 ","393,326 ","333,369 ","262,652 ","194,559 ","409,439 ","354,983 ","365,520 ","263,527 ","348,367 ","342,650 ",,76年,51年,"340,397 ","343,886 ","346,122 ","353,492 ","359,884 ","361,157 ","352,245 ","345,020 ","334,964 ","336,936 ","342,050 ","337,657 ","343,468 ","358,178 ","344,076 ","338,881 ",
,77年,52年,"366,986 ","350,376 ","442,349 ","357,174 ","285,125 ","265,823 ","260,468 ","341,312 ","356,605 ","308,072 ","231,565 ","171,450 ","386,570 ","302,707 ","319,462 ","237,029 ","311,442 ","308,474 ",,77年,52年,"327,540 ","317,156 ","321,162 ","314,954 ","302,827 ","294,569 ","297,085 ","301,167 ","304,290 ","309,291 ","306,341 ","298,065 ","321,953 ","304,117 ","300,847 ","304,566 ",
,78年,53年,"322,564 ","350,981 ","450,549 ","368,176 ","306,175 ","292,760 ","298,769 ","380,254 ","390,213 ","343,834 ","268,386 ","200,671 ","374,698 ","322,370 ","356,412 ","270,964 ","331,111 ","344,736 ",,78年,53年,"301,406 ","317,612 ","333,841 ","327,708 ","311,284 ","330,896 ","337,636 ","330,947 ","336,331 ","341,645 ","345,209 ","346,012 ","317,620 ","323,296 ","334,971 ","344,289 ",
,79年,54年,"388,531 ","401,335 ","497,733 ","414,462 ","375,849 ","332,802 ","348,896 ","446,241 ","455,466 ","413,961 ","314,515 ","236,625 ","429,200 ","374,371 ","416,868 ","321,700 ","385,535 ","392,018 ",,79年,54年,"357,076 ","369,806 ","375,375 ","370,445 ","378,801 ","383,695 ","381,887 ","388,372 ","405,175 ","402,340 ","395,343 ","392,743 ","367,419 ","377,647 ","391,811 ","396,809 ",
,80年,55年,"430,459 ","437,575 ","497,366 ","453,977 ","384,112 ","338,955 ","363,914 ","429,899 ","432,492 ","379,942 ","284,803 ","240,942 ","455,133 ","392,348 ","408,768 ","301,896 ","389,536 ","381,498 ",,80年,55年,"401,920 ","392,188 ","390,152 ","401,502 ","397,025 ","392,267 ","387,568 ","385,751 ","380,084 ","373,323 ","378,513 ","387,981 ","394,753 ","396,931 ","384,468 ","379,939 ",
,81年,56年,"404,127 ","395,635 ","469,179 ","409,189 ","346,553 ","332,433 ","357,848 ","441,919 ","414,751 ","369,387 ","279,187 ","241,586 ","422,980 ","362,725 ","404,839 ","296,720 ","371,816 ","368,642 ",,81年,56年,"384,943 ","370,516 ","357,269 ","360,795 ","374,996 ","375,241 ","380,397 ","391,834 ","370,101 ","366,397 ","362,783 ","380,021 ","370,909 ","370,344 ","380,777 ","369,734 ",
,82年,57年,"371,412 ","387,778 ","471,663 ","384,226 ","323,363 ","312,187 ","326,169 ","411,304 ","384,125 ","335,007 ","274,699 ","224,803 ","410,284 ","339,925 ","373,866 ","278,170 ","350,561 ","347,805 ",,82年,57年,"361,867 ","366,423 ","356,686 ","344,447 ","352,364 ","351,327 ","351,600 ","355,228 ","347,920 ","345,181 ","347,328 ","349,510 ","361,659 ","349,379 ","351,583 ","347,340 ",
,83年,58年,"357,537 ","365,405 ","474,834 ","389,647 ","330,672 ","323,613 ","333,405 ","445,700 ","407,515 ","368,153 ","312,504 ","250,250 ","399,259 ","347,977 ","395,540 ","310,302 ","363,270 ","373,806 ",,83年,58年,"351,958 ","347,808 ","357,340 ","356,075 ","363,864 ","366,565 ","367,463 ","377,830 ","375,334 ","383,928 ","388,161 ","384,656 ","352,369 ","362,168 ","373,542 ","385,582 ",
,84年,59年,"394,317 ","421,667 ","508,232 ","435,622 ","379,615 ","349,432 ","374,026 ","482,775 ","421,009 ","405,415 ","336,835 ","261,348 ","441,405 ","388,223 ","425,937 ","334,533 ","397,524 ","401,269 ",,84年,59年,"383,497 ","380,544 ","390,369 ","399,461 ","401,071 ","397,080 ","403,672 ","403,314 ","392,662 ","403,515 ","409,305 ","405,669 ","384,803 ","399,204 ","399,883 ","406,163 ",
