新規求人数（新規学卒者及びパートタイムを除く）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者及びパートタイムを除く）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,81年,56年,"375,864 ","374,286 ","444,527 ","382,505 ","323,927 ","309,535 ","333,896 ","414,147 ","383,600 ","339,739 ","256,197 ","224,973 ","398,226 ","338,656 ","377,214 ","273,636 ","346,933 ","343,172 ",,81年,56年,"358,668 ","347,227 ","333,176 ","337,178 ","349,389 ","351,115 ","355,005 ","364,871 ","344,593 ","341,834 ","338,422 ","352,418 ","346,357 ","345,894 ","354,823 ","344,225 "
,82年,57年,"342,650 ","362,644 ","444,246 ","356,476 ","299,472 ","288,033 ","302,182 ","381,836 ","350,431 ","302,387 ","247,357 ","206,559 ","383,180 ","314,660 ","344,816 ","252,101 ","323,689 ","319,708 ",,82年,57年,"336,228 ","339,825 ","331,595 ","319,658 ","325,688 ","326,103 ","325,677 ","325,568 ","321,512 ","316,812 ","317,981 ","320,315 ","335,883 ","323,816 ","324,252 ","318,369 "
,83年,58年,"324,023 ","336,924 ","440,810 ","355,799 ","301,450 ","292,035 ","300,229 ","406,251 ","364,626 ","328,728 ","276,616 ","226,697 ","367,252 ","316,428 ","357,035 ","277,347 ","329,516 ","338,065 ",,83年,58年,"321,914 ","318,157 ","325,675 ","324,436 ","331,923 ","333,323 ","331,966 ","341,003 ","341,708 ","348,522 ","350,224 ","347,266 ","321,915 ","329,894 ","338,226 ","348,671 "
,84年,59年,"353,319 ","383,158 ","467,868 ","396,568 ","341,532 ","311,548 ","335,552 ","438,572 ","374,803 ","358,937 ","296,743 ","233,975 ","401,448 ","349,883 ","382,976 ","296,552 ","357,715 ","360,227 ",,84年,59年,"347,324 ","340,373 ","351,116 ","363,307 ","360,873 ","356,481 ","363,419 ","361,935 ","355,168 ","362,948 ","367,980 ","362,315 ","346,271 ","360,220 ","360,174 ","364,414 "
,85年,60年,"371,836 ","396,116 ","466,538 ","411,227 ","339,262 ","306,019 ","340,634 ","429,167 ","373,601 ","348,075 ","284,085 ","228,715 ","411,497 ","352,169 ","381,134 ","286,958 ","357,940 ","353,849 ",,85年,60年,"358,386 ","366,502 ","356,130 ","367,579 ","363,790 ","357,238 ","358,098 ","356,750 ","354,753 ","348,221 ","347,586 ","346,742 ","360,339 ","362,869 ","356,534 ","347,516 "
,86年,61年,"366,226 ","373,641 ","445,530 ","373,917 ","305,108 ","276,286 ","307,417 ","386,687 ","343,810 ","326,280 ","256,546 ","220,997 ","395,132 ","318,437 ","345,971 ","267,941 ","331,870 ","330,204 ",,86年,61年,"348,198 ","344,605 ","340,804 ","331,654 ","326,727 ","314,519 ","319,753 ","345,639 ","320,183 ","322,156 ","318,532 ","324,453 ","344,536 ","324,300 ","328,525 ","321,714 "
,87年,62年,"344,917 ","362,351 ","458,137 ","388,767 ","321,798 ","331,348 ","366,821 ","418,346 ","430,078 ","420,328 ","343,068 ","294,173 ","388,468 ","347,304 ","405,082 ","352,523 ","373,344 ","401,638 ",,87年,62年,"325,078 ","334,574 ","356,647 ","346,216 ","352,803 ","363,474 ","376,469 ","384,356 ","398,382 ","410,227 ","415,537 ","415,500 ","338,766 ","354,164 ","386,402 ","413,755 "
,88年,63年,"467,581 ","478,625 ","558,718 ","498,420 ","407,152 ","444,862 ","462,770 ","516,975 ","529,975 ","498,632 ","424,922 ","370,170 ","501,641 ","450,145 ","503,240 ","431,241 ","471,567 ","489,806 ",,88年,63年,"431,929 ","425,334 ","437,586 ","450,575 ","453,941 ","483,616 ","479,387 ","477,401 ","492,594 ","495,354 ","496,386 ","508,551 ","431,616 ","462,711 ","483,127 ","500,097 "
,89年,元年,"556,227 ","535,081 ","632,480 ","559,418 ","480,774 ","492,595 ","505,996 ","556,462 ","558,982 ","521,915 ","458,599 ","393,057 ","574,596 ","510,929 ","540,480 ","457,857 ","520,966 ","527,632 ",,89年,元年,"511,058 ","506,200 ","512,818 ","517,062 ","518,667 ","530,535 ","519,239 ","527,797 ","525,597 ","517,896 ","536,898 ","534,190 ","510,025 ","522,088 ","524,211 ","529,661 "
,90年,２年,"575,258 ","585,618 ","642,915 ","567,387 ","512,196 ","505,818 ","542,641 ","564,904 ","550,262 ","569,768 ","464,859 ","410,747 ","601,264 ","528,467 ","552,602 ","481,791 ","541,031 ","542,811 ",,90年,２年,"524,461 ","541,095 ","529,953 ","527,456 ","546,030 ","542,634 ","545,610 ","544,606 ","536,578 ","550,774 ","546,699 ","548,827 ","531,836 ","538,707 ","542,265 ","548,767 "
