有効求人数（新規学卒者及びパートタイムを除く）【実数】,,,,,,,,,,,,,,,,,,,,,有効求人数（新規学卒者及びパートタイムを除く）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,73年,48年,"1,635,691 ","1,901,265 ","2,132,784 ","2,051,722 ","1,968,780 ","1,847,580 ","1,770,332 ","1,911,368 ","2,035,485 ","2,111,761 ","1,902,085 ","1,564,640 ","1,889,913 ","1,956,027 ","1,905,728 ","1,859,495 ","1,902,791 ","1,852,935 ",,73年,48年,"1,851,603 ","1,861,304 ","1,773,329 ","1,780,483 ","1,848,189 ","1,940,967 ","1,975,036 ","1,975,279 ","1,939,367 ","1,950,979 ","1,938,974 ","1,905,477 ","1,828,745 ","1,856,546 ","1,963,227 ","1,931,810 "
,74年,49年,"1,542,952 ","1,664,993 ","1,863,521 ","1,730,278 ","1,570,419 ","1,318,178 ","1,201,672 ","1,213,953 ","1,273,070 ","1,262,751 ","1,092,288 ","881,946 ","1,690,489 ","1,539,625 ","1,229,565 ","1,078,995 ","1,384,668 ","1,217,994 ",,74年,49年,"1,755,341 ","1,658,558 ","1,554,306 ","1,484,620 ","1,470,856 ","1,397,473 ","1,331,921 ","1,261,321 ","1,211,183 ","1,165,807 ","1,119,605 ","1,078,339 ","1,656,068 ","1,450,983 ","1,268,142 ","1,121,250 "
,75年,50年,"895,306 ","988,107 ","1,187,955 ","1,130,657 ","978,163 ","835,255 ","783,429 ","818,008 ","905,431 ","910,735 ","800,199 ","662,824 ","1,023,789 ","981,358 ","835,623 ","791,253 ","908,006 ","879,580 ",,75年,50年,"1,019,760 ","988,486 ","983,012 ","965,289 ","918,255 ","887,611 ","864,464 ","857,585 ","858,692 ","841,685 ","827,837 ","823,726 ","997,086 ","923,718 ","860,247 ","831,083 "
,76年,51年,"741,966 ","875,621 ","1,112,671 ","1,118,945 ","959,395 ","871,709 ","835,679 ","878,758 ","951,304 ","944,066 ","858,229 ","703,656 ","910,086 ","983,350 ","888,580 ","835,317 ","904,333 ","900,220 ",,76年,51年,"846,397 ","877,830 ","899,843 ","951,175 ","917,268 ","922,041 ","926,876 ","919,809 ","902,418 ","883,697 ","887,520 ","876,402 ","874,690 ","930,161 ","916,368 ","882,540 "
,77年,52年,"776,072 ","852,127 ","1,052,694 ","996,127 ","830,688 ","729,750 ","679,219 ","735,648 ","819,640 ","838,184 ","752,429 ","617,779 ","893,631 ","852,188 ","744,836 ","736,131 ","806,696 ","789,361 ",,77年,52年,"865,689 ","851,790 ","843,030 ","849,954 ","799,513 ","773,863 ","758,643 ","763,239 ","778,953 ","789,407 ","777,222 ","768,026 ","853,503 ","807,777 ","766,945 ","778,218 "
,78年,53年,"681,701 ","787,640 ","1,003,531 ","977,980 ","844,240 ","771,910 ","754,230 ","833,801 ","914,649 ","930,411 ","852,367 ","728,036 ","824,291 ","864,710 ","834,227 ","836,938 ","840,041 ","878,293 ",,78年,53年,"753,162 ","783,027 ","803,248 ","841,735 ","814,872 ","824,595 ","844,019 ","861,197 ","873,971 ","875,859 ","876,699 ","874,133 ","779,812 ","827,067 ","859,729 ","875,564 "
,79年,54年,"825,450 ","939,409 ","1,167,035 ","1,124,975 ","1,018,513 ","939,077 ","924,597 ","1,006,398 ","1,082,228 ","1,132,578 ","1,058,394 ","920,323 ","977,298 ","1,027,522 ","1,004,408 ","1,037,098 ","1,011,581 ","1,049,832 ",,79年,54年,"908,301 ","930,792 ","948,961 ","973,272 ","992,007 ","1,011,822 ","1,026,180 ","1,032,508 ","1,043,377 ","1,064,357 ","1,079,680 ","1,093,495 ","929,351 ","992,367 ","1,034,022 ","1,079,177 "
,80年,55年,"993,533 ","1,103,327 ","1,294,040 ","1,235,298 ","1,082,338 ","984,985 ","976,664 ","1,021,997 ","1,085,159 ","1,100,250 ","1,010,907 ","897,216 ","1,130,300 ","1,100,874 ","1,027,940 ","1,002,791 ","1,065,476 ","1,051,001 ",,80年,55年,"1,085,634 ","1,084,051 ","1,080,605 ","1,072,617 ","1,070,684 ","1,075,921 ","1,073,123 ","1,056,652 ","1,044,667 ","1,041,119 ","1,039,952 ","1,041,876 ","1,083,430 ","1,073,074 ","1,058,147 ","1,040,982 "
,81年,56年,"959,311 ","1,041,216 ","1,216,675 ","1,174,114 ","1,018,141 ","965,740 ","968,343 ","1,039,731 ","1,105,290 ","1,107,362 ","1,017,462 ","928,937 ","1,072,401 ","1,052,665 ","1,037,788 ","1,017,920 ","1,045,194 ","1,047,863 ",,81年,56年,"1,034,685 ","1,023,096 ","1,009,733 ","1,021,872 ","1,035,505 ","1,056,174 ","1,069,554 ","1,072,641 ","1,063,354 ","1,049,489 ","1,044,167 ","1,064,707 ","1,022,505 ","1,037,850 ","1,068,516 ","1,052,788 "
,82年,57年,"977,536 ","1,053,590 ","1,218,112 ","1,150,427 ","947,571 ","878,870 ","868,103 ","951,938 ","1,009,346 ","1,008,363 ","948,780 ","858,942 ","1,083,079 ","992,289 ","943,129 ","938,695 ","989,298 ","973,004 ",,82年,57年,"1,046,940 ","1,036,146 ","1,014,024 ","1,003,801 ","974,988 ","970,147 ","970,313 ","972,026 ","970,885 ","963,934 ","966,779 ","971,497 ","1,032,370 ","982,979 ","971,075 ","967,403 "
,83年,58年,"910,895 ","980,547 ","1,162,260 ","1,101,492 ","930,508 ","870,685 ","860,016 ","970,745 ","1,040,923 ","1,057,717 ","1,008,252 ","914,256 ","1,017,901 ","967,562 ","957,228 ","993,408 ","984,025 ","1,002,619 ",,83年,58年,"968,795 ","963,356 ","966,462 ","967,139 ","967,879 ","969,909 ","972,562 ","987,377 ","1,000,726 ","1,013,839 ","1,020,380 ","1,028,751 ","966,204 ","968,309 ","986,888 ","1,020,990 "
,84年,59年,"975,883 ","1,061,600 ","1,239,354 ","1,206,108 ","1,023,590 ","952,969 ","956,444 ","1,064,100 ","1,113,428 ","1,138,315 ","1,066,948 ","949,811 ","1,092,279 ","1,060,889 ","1,044,657 ","1,051,691 ","1,062,379 ","1,067,946 ",,84年,59年,"1,032,859 ","1,036,704 ","1,041,991 ","1,055,310 ","1,057,940 ","1,069,229 ","1,078,997 ","1,079,463 ","1,075,336 ","1,074,897 ","1,071,837 ","1,069,546 ","1,037,185 ","1,060,826 ","1,077,932 ","1,072,093 "
,85年,60年,"1,004,884 ","1,087,732 ","1,251,024 ","1,221,570 ","1,025,572 ","941,892 ","937,491 ","1,029,583 ","1,082,553 ","1,095,360 ","1,022,538 ","910,712 ","1,114,547 ","1,063,011 ","1,016,542 ","1,009,537 ","1,050,909 ","1,038,789 ",,85年,60年,"1,060,680 ","1,063,495 ","1,057,347 ","1,064,174 ","1,066,284 ","1,064,429 ","1,055,766 ","1,047,591 ","1,042,218 ","1,032,970 ","1,027,937 ","1,021,550 ","1,060,507 ","1,064,962 ","1,048,525 ","1,027,486 "
,86年,61年,"971,734 ","1,034,219 ","1,192,245 ","1,125,087 ","928,084 ","832,145 ","830,914 ","918,340 ","975,933 ","994,444 ","924,713 ","842,325 ","1,066,066 ","961,772 ","908,396 ","920,494 ","964,182 ","948,154 ",,86年,61年,"1,021,186 ","1,013,362 ","1,018,177 ","986,641 ","964,873 ","930,586 ","918,757 ","937,710 ","931,694 ","933,151 ","932,656 ","940,734 ","1,017,575 ","960,700 ","929,387 ","935,514 "
,87年,62年,"892,066 ","970,185 ","1,143,617 ","1,110,983 ","937,330 ","903,498 ","934,060 ","1,035,871 ","1,145,049 ","1,191,723 ","1,148,304 ","1,047,432 ","1,001,956 ","983,937 ","1,038,327 ","1,129,153 ","1,038,343 ","1,104,558 ",,87年,62年,"945,123 ","951,657 ","974,002 ","978,502 ","981,430 ","999,271 ","1,020,039 ","1,053,938 ","1,090,588 ","1,118,016 ","1,150,561 ","1,168,314 ","956,927 ","986,401 ","1,054,855 ","1,145,630 "
,88年,63年,"1,129,793 ","1,235,592 ","1,435,056 ","1,401,663 ","1,235,083 ","1,199,699 ","1,227,272 ","1,338,709 ","1,423,016 ","1,447,729 ","1,375,082 ","1,247,570 ","1,266,814 ","1,278,815 ","1,329,666 ","1,356,794 ","1,308,022 ","1,356,336 ",,88年,63年,"1,193,099 ","1,216,671 ","1,240,262 ","1,255,951 ","1,283,347 ","1,305,405 ","1,335,064 ","1,342,999 ","1,355,716 ","1,374,652 ","1,376,295 ","1,394,032 ","1,216,677 ","1,281,568 ","1,344,593 ","1,381,660 "
,89年,元年,"1,323,784 ","1,418,700 ","1,637,728 ","1,566,865 ","1,435,532 ","1,381,233 ","1,386,389 ","1,480,687 ","1,545,184 ","1,551,922 ","1,477,770 ","1,324,647 ","1,460,071 ","1,461,210 ","1,470,753 ","1,451,446 ","1,460,870 ","1,478,916 ",,89年,元年,"1,405,158 ","1,415,258 ","1,427,640 ","1,417,929 ","1,470,013 ","1,480,038 ","1,489,954 ","1,480,501 ","1,479,154 ","1,475,752 ","1,487,483 ","1,486,769 ","1,416,019 ","1,455,993 ","1,483,203 ","1,483,335 "
,90年,２年,"1,374,348 ","1,511,218 ","1,711,192 ","1,631,594 ","1,497,168 ","1,442,521 ","1,474,985 ","1,549,490 ","1,595,227 ","1,618,579 ","1,514,533 ","1,375,561 ","1,532,253 ","1,523,761 ","1,539,901 ","1,502,891 ","1,524,701 ","1,537,472 ",,90年,２年,"1,471,643 ","1,499,254 ","1,501,233 ","1,465,347 ","1,522,239 ","1,536,920 ","1,570,895 ","1,549,446 ","1,545,644 ","1,543,933 ","1,546,048 ","1,550,208 ","1,490,710 ","1,508,169 ","1,555,328 ","1,546,730 "
,91年,３年,"1,448,340 ","1,562,386 ","1,739,278 ","1,673,291 ","1,517,431 ","1,435,537 ","1,465,200 ","1,495,969 ","1,536,502 ","1,537,841 ","1,433,243 ","1,297,091 ","1,583,335 ","1,542,086 ","1,499,224 ","1,422,725 ","1,511,842 ","1,477,358 ",,91年,３年,"1,553,690 ","1,544,039 ","1,535,693 ","1,494,994 ","1,529,352 ","1,530,346 ","1,544,431 ","1,508,021 ","1,490,049 ","1,481,289 ","1,465,929 ","1,456,549 ","1,544,474 ","1,518,231 ","1,514,167 ","1,467,922 "
,92年,４年,"1,339,548 ","1,427,693 ","1,568,948 ","1,492,511 ","1,314,011 ","1,242,420 ","1,230,511 ","1,244,031 ","1,296,385 ","1,269,457 ","1,171,659 ","1,058,385 ","1,445,396 ","1,349,647 ","1,256,976 ","1,166,500 ","1,304,630 ","1,243,945 ",,92年,４年,"1,438,664 ","1,408,960 ","1,373,031 ","1,324,142 ","1,325,890 ","1,306,884 ","1,296,768 ","1,270,566 ","1,253,143 ","1,230,156 ","1,213,040 ","1,194,340 ","1,406,885 ","1,318,972 ","1,273,492 ","1,212,512 "
,93年,５年,"1,092,485 ","1,185,170 ","1,330,311 ","1,261,916 ","1,083,355 ","999,999 ","975,880 ","995,717 ","1,030,517 ","998,717 ","945,415 ","857,477 ","1,202,655 ","1,115,090 ","1,000,705 ","933,870 ","1,063,080 ","1,012,808 ",,93年,５年,"1,173,644 ","1,159,272 ","1,137,882 ","1,118,703 ","1,095,947 ","1,062,263 ","1,036,785 ","1,017,570 ","999,479 ","983,742 ","977,051 ","966,919 ","1,156,933 ","1,092,304 ","1,017,945 ","975,904 "
,94年,６年,"898,126 ","973,375 ","1,133,203 ","1,087,018 ","959,034 ","909,925 ","894,556 ","944,404 ","1,000,915 ","985,349 ","933,683 ","841,812 ","1,001,568 ","985,326 ","946,625 ","920,281 ","963,450 ","969,054 ",,94年,６年,"958,294 ","950,744 ","973,336 ","970,449 ","957,684 ","959,382 ","958,921 ","963,062 ","973,370 ","971,904 ","963,104 ","948,035 ","960,791 ","962,505 ","965,118 ","961,014 "
,95年,７年,"887,910 ","1,012,885 ","1,171,156 ","1,118,266 ","976,511 ","915,243 ","894,636 ","939,482 ","982,512 ","988,424 ","938,135 ","875,534 ","1,023,984 ","1,003,340 ","938,877 ","934,031 ","975,058 ","981,773 ",,95年,７年,"949,394 ","980,363 ","996,466 ","998,864 ","975,582 ","963,844 ","960,974 ","964,180 ","962,813 ","966,524 ","968,419 ","970,443 ","975,408 ","979,430 ","962,656 ","968,462 "
,96年,８年,"925,950 ","1,036,365 ","1,190,212 ","1,179,485 ","1,061,645 ","1,002,969 ","1,033,918 ","1,065,376 ","1,124,155 ","1,153,559 ","1,106,475 ","1,032,799 ","1,050,842 ","1,081,366 ","1,074,483 ","1,097,611 ","1,076,076 ","1,110,644 ",,96年,８年,"985,300 ","1,005,798 ","1,025,512 ","1,047,390 ","1,057,805 ","1,077,706 ","1,096,726 ","1,102,441 ","1,111,867 ","1,124,047 ","1,132,717 ","1,143,119 ","1,005,537 ","1,060,967 ","1,103,678 ","1,133,294 "
,97年,９年,"1,085,899 ","1,166,290 ","1,315,152 ","1,267,679 ","1,128,676 ","1,072,894 ","1,069,445 ","1,080,029 ","1,135,890 ","1,137,295 ","1,055,214 ","976,010 ","1,189,114 ","1,156,416 ","1,095,121 ","1,056,173 ","1,124,206 ","1,090,226 ",,97年,９年,"1,143,561 ","1,137,096 ","1,139,114 ","1,134,336 ","1,132,062 ","1,147,907 ","1,142,494 ","1,129,545 ","1,119,529 ","1,103,863 ","1,087,212 ","1,072,747 ","1,139,924 ","1,138,102 ","1,130,523 ","1,087,941 "
,98年,10年,"983,094 ","1,036,931 ","1,139,553 ","1,071,534 ","916,251 ","855,125 ","837,491 ","848,896 ","883,540 ","889,224 ","840,002 ","783,654 ","1,053,193 ","947,637 ","856,642 ","837,627 ","923,775 ","884,180 ",,98年,10年,"1,035,046 ","1,005,375 ","970,587 ","958,492 ","940,495 ","914,794 ","895,620 ","888,467 ","870,273 ","858,764 ","853,619 ","850,869 ","1,003,669 ","937,927 ","884,787 ","854,417 "
,99年,11年,"812,168 ","873,286 ","998,994 ","938,161 ","796,624 ","772,101 ","775,895 ","812,321 ","870,392 ","884,090 ","867,563 ","814,658 ","894,816 ","835,629 ","819,536 ","855,437 ","851,354 ","870,145 ",,99年,11年,"848,851 ","850,019 ","858,404 ","845,678 ","827,680 ","829,044 ","836,388 ","841,785 ","855,489 ","864,670 ","871,735 ","885,726 ","852,425 ","834,134 ","844,554 ","874,044 "
,00年,12年,"865,906 ","953,117 ","1,090,910 ","1,051,122 ","943,394 ","938,243 ","950,213 ","1,021,887 ","1,084,986 ","1,123,093 ","1,091,318 ","1,033,351 ","969,978 ","977,586 ","1,019,029 ","1,082,587 ","1,012,295 ","1,055,342 ",,00年,12年,"901,430 ","921,770 ","943,085 ","960,544 ","969,735 ","1,004,824 ","1,031,541 ","1,051,999 ","1,067,621 ","1,080,866 ","1,098,811 ","1,107,897 ","922,095 ","978,368 ","1,050,387 ","1,095,858 "
,01年,13年,"1,065,236 ","1,127,500 ","1,233,761 ","1,175,525 ","1,042,207 ","976,753 ","973,312 ","995,253 ","1,021,655 ","1,031,748 ","970,209 ","876,309 ","1,142,166 ","1,064,828 ","996,740 ","959,422 ","1,040,789 ","1,002,259 ",,01年,13年,"1,104,210 ","1,097,730 ","1,082,231 ","1,077,336 ","1,068,154 ","1,057,108 ","1,037,798 ","1,025,418 ","1,013,123 ","985,389 ","959,432 ","944,684 ","1,094,724 ","1,067,533 ","1,025,446 ","963,168 "
,02年,14年,"914,968 ","969,762 ","1,079,409 ","1,056,193 ","949,013 ","905,373 ","949,480 ","965,646 ","1,023,874 ","1,072,632 ","1,030,595 ","971,731 ","988,046 ","970,193 ","979,667 ","1,024,986 ","990,723 ","1,018,287 ",,02年,14年,"945,076 ","947,145 ","961,050 ","970,040 ","976,544 ","983,603 ","995,684 ","1,003,850 ","1,015,148 ","1,021,752 ","1,025,765 ","1,034,548 ","951,090 ","976,729 ","1,004,894 ","1,027,355 "
,03年,15年,"1,018,186 ","1,085,752 ","1,190,966 ","1,158,760 ","1,051,253 ","1,022,325 ","1,061,455 ","1,081,338 ","1,178,544 ","1,250,872 ","1,217,243 ","1,178,431 ","1,098,301 ","1,077,446 ","1,107,112 ","1,215,515 ","1,124,594 ","1,178,211 ",,03年,15年,"1,046,351 ","1,060,556 ","1,070,293 ","1,074,998 ","1,080,592 ","1,094,570 ","1,116,014 ","1,130,798 ","1,158,919 ","1,189,653 ","1,223,857 ","1,253,875 ","1,059,067 ","1,083,387 ","1,135,244 ","1,222,462 "
,04年,16年,"1,224,252 ","1,288,679 ","1,425,377 ","1,370,613 ","1,237,194 ","1,258,468 ","1,274,013 ","1,326,886 ","1,400,878 ","1,439,005 ","1,461,833 ","1,372,405 ","1,312,769 ","1,288,758 ","1,333,926 ","1,424,414 ","1,339,967 ","1,384,873 ",,04年,16年,"1,255,123 ","1,265,190 ","1,265,464 ","1,285,553 ","1,304,102 ","1,330,700 ","1,344,350 ","1,364,496 ","1,377,745 ","1,393,871 ","1,438,417 ","1,455,727 ","1,261,926 ","1,306,785 ","1,362,197 ","1,429,338 "
,05年,17年,"1,411,873 ","1,463,292 ","1,602,018 ","1,545,615 ","1,437,192 ","1,423,932 ","1,416,855 ","1,476,812 ","1,530,114 ","1,556,458 ","1,538,940 ","1,445,203 ","1,492,394 ","1,468,913 ","1,474,594 ","1,513,534 ","1,487,359 ","1,516,878 ",,05年,17年,"1,441,146 ","1,436,415 ","1,454,267 ","1,479,282 ","1,498,383 ","1,497,650 ","1,496,370 ","1,499,438 ","1,497,396 ","1,508,051 ","1,513,289 ","1,528,357 ","1,443,943 ","1,491,772 ","1,497,735 ","1,516,566 "
,06年,18年,"1,511,488 ","1,601,341 ","1,718,583 ","1,638,710 ","1,535,971 ","1,515,501 ","1,517,753 ","1,566,000 ","1,612,978 ","1,617,710 ","1,567,927 ","1,467,133 ","1,610,471 ","1,563,394 ","1,565,577 ","1,550,923 ","1,572,591 ","1,561,251 ",,06年,18年,"1,540,443 ","1,560,423 ","1,581,399 ","1,582,965 ","1,587,640 ","1,585,802 ","1,595,670 ","1,582,691 ","1,571,831 ","1,548,102 ","1,543,681 ","1,529,764 ","1,560,755 ","1,585,469 ","1,583,397 ","1,540,516 "
,07年,19年,"1,501,910 ","1,556,434 ","1,636,989 ","1,547,980 ","1,470,086 ","1,432,397 ","1,443,663 ","1,463,423 ","1,471,633 ","1,499,947 ","1,417,843 ","1,298,965 ","1,565,111 ","1,483,488 ","1,459,573 ","1,405,585 ","1,478,439 ","1,421,139 ",,07年,19年,"1,527,813 ","1,527,351 ","1,525,062 ","1,515,220 ","1,521,174 ","1,511,799 ","1,496,621 ","1,476,252 ","1,451,161 ","1,419,059 ","1,380,067 ","1,359,598 ","1,526,742 ","1,516,064 ","1,474,678 ","1,386,241 "
,08年,20年,"1,311,329 ","1,350,575 ","1,345,830 ","1,273,712 ","1,200,971 ","1,175,882 ","1,175,159 ","1,148,155 ","1,178,413 ","1,166,108 ","1,074,900 ","1,000,275 ","1,335,911 ","1,216,855 ","1,167,242 ","1,080,428 ","1,200,109 ","1,102,651 ",,08年,20年,"1,329,151 ","1,319,310 ","1,275,985 ","1,252,594 ","1,263,548 ","1,241,225 ","1,207,499 ","1,173,978 ","1,135,914 ","1,099,900 ","1,070,150 ","1,043,900 ","1,308,149 ","1,252,456 ","1,172,464 ","1,071,317 "
,09年,21年,"983,051 ","947,621 ","907,564 ","816,888 ","732,992 ","742,817 ","747,956 ","751,529 ","795,346 ","812,730 ","780,167 ","744,081 ","946,079 ","764,232 ","764,944 ","778,993 ","813,562 ","781,837 ",,09年,21年,"990,651 ","927,567 ","859,251 ","811,620 ","787,427 ","777,187 ","768,422 ","765,074 ","774,796 ","769,638 ","768,105 ","774,608 ","925,823 ","792,078 ","769,431 ","770,784 "
,10年,22年,"780,613 ","816,806 ","860,118 ","820,192 ","787,189 ","828,614 ","853,115 ","892,790 ","946,842 ","976,129 ","976,154 ","929,994 ","819,179 ","811,998 ","897,582 ","960,759 ","872,380 ","926,250 ",,10年,22年,"784,675 ","798,179 ","810,332 ","823,827 ","843,736 ","864,212 ","879,990 ","899,149 ","914,233 ","933,243 ","952,953 ","968,791 ","797,729 ","843,925 ","897,791 ","951,662 "
,11年,23年,"982,073 ","1,043,547 ","1,078,363 ","1,017,259 ","974,883 ","1,012,631 ","1,031,943 ","1,094,027 ","1,144,392 ","1,167,567 ","1,158,951 ","1,099,773 ","1,034,661 ","1,001,591 ","1,090,121 ","1,142,097 ","1,067,117 ","1,108,959 ",,11年,23年,"988,786 ","1,016,792 ","1,016,953 ","1,027,511 ","1,033,301 ","1,049,736 ","1,068,365 ","1,090,361 ","1,106,792 ","1,120,073 ","1,134,912 ","1,144,971 ","1,007,510 ","1,036,849 ","1,088,506 ","1,133,319 "
,12年,24年,"1,144,065 ","1,212,567 ","1,249,446 ","1,195,863 ","1,178,387 ","1,180,983 ","1,204,006 ","1,229,514 ","1,248,062 ","1,292,127 ","1,257,896 ","1,188,416 ","1,202,026 ","1,185,078 ","1,227,194 ","1,246,146 ","1,215,111 ","1,234,869 ",,12年,24年,"1,156,076 ","1,171,344 ","1,189,870 ","1,208,267 ","1,217,338 ","1,226,674 ","1,230,212 ","1,229,256 ","1,224,150 ","1,230,026 ","1,227,488 ","1,238,385 ","1,172,430 ","1,217,426 ","1,227,873 ","1,231,966 "
,13年,25年,"1,230,087 ","1,290,593 ","1,322,488 ","1,277,247 ","1,257,064 ","1,256,255 ","1,304,726 ","1,321,833 ","1,373,881 ","1,422,096 ","1,397,221 ","1,338,212 ","1,281,056 ","1,263,522 ","1,333,480 ","1,385,843 ","1,315,975 ","1,353,308 ",,13年,25年,"1,243,460 ","1,258,045 ","1,270,644 ","1,278,714 ","1,292,966 ","1,306,815 ","1,319,521 ","1,332,166 ","1,354,045 ","1,362,448 ","1,378,779 ","1,392,059 ","1,257,383 ","1,292,832 ","1,335,244 ","1,377,762 "
,14年,26年,"1,389,477 ","1,439,915 ","1,461,768 ","1,406,153 ","1,369,553 ","1,374,654 ","1,397,654 ","1,380,747 ","1,423,916 ","1,451,686 ","1,404,890 ","1,350,894 ","1,430,387 ","1,383,453 ","1,400,772 ","1,402,490 ","1,404,276 ","1,409,616 ",,14年,26年,"1,402,213 ","1,402,418 ","1,402,240 ","1,406,424 ","1,413,602 ","1,416,552 ","1,410,907 ","1,404,164 ","1,399,758 ","1,399,921 ","1,406,180 ","1,401,785 ","1,402,290 ","1,412,193 ","1,404,943 ","1,402,629 "
,15年,27年,"1,402,055 ","1,463,791 ","1,489,395 ","1,413,947 ","1,356,595 ","1,388,890 ","1,418,184 ","1,430,825 ","1,457,994 ","1,489,186 ","1,472,898 ","1,425,335 ","1,451,747 ","1,386,477 ","1,435,668 ","1,462,473 ","1,434,091 ","1,452,084 ",,15年,27年,"1,412,066 ","1,423,015 ","1,413,792 ","1,411,082 ","1,416,882 ","1,418,768 ","1,433,452 ","1,452,980 ","1,450,214 ","1,450,152 ","1,467,466 ","1,473,758 ","1,416,291 ","1,415,577 ","1,445,549 ","1,463,792 "
,16年,28年,"1,462,822 ","1,542,419 ","1,565,912 ","1,492,172 ","1,448,728 ","1,471,220 ","1,472,540 ","1,502,511 ","1,537,927 ","1,561,837 ","1,557,216 ","1,511,850 ","1,523,718 ","1,470,707 ","1,504,326 ","1,543,634 ","1,510,596 ","1,532,811 ",,16年,28年,"1,471,432 ","1,493,229 ","1,486,503 ","1,494,872 ","1,498,623 ","1,501,163 ","1,509,249 ","1,517,062 ","1,524,683 ","1,534,173 ","1,544,260 ","1,558,308 ","1,483,721 ","1,498,219 ","1,516,998 ","1,545,580 "
,17年,29年,"1,558,142 ","1,622,916 ","1,656,670 ","1,586,590 ","1,557,088 ","1,579,814 ","1,579,723 ","1,612,953 ","1,649,261 ","1,688,284 ","1,675,246 ","1,642,814 ","1,612,576 ","1,574,497 ","1,613,979 ","1,668,781 ","1,617,458 ","1,638,960 ",,17年,29年,"1,565,489 ","1,565,689 ","1,575,295 ","1,587,652 ","1,595,224 ","1,610,697 ","1,616,349 ","1,626,722 ","1,638,076 ","1,650,731 ","1,664,050 ","1,683,705 ","1,568,824 ","1,597,858 ","1,627,049 ","1,666,162 "
,18年,30年,"1,663,209 ","1,708,810 ","1,723,732 ","1,662,860 ","1,649,847 ","1,651,121 ","1,656,561 ","1,673,893 ",,,,,"1,698,584 ","1,654,609 ",,,,,,18年,30年,"1,670,559 ","1,657,751 ","1,647,927 ","1,660,867 ","1,678,721 ","1,692,069 ","1,683,497 ","1,683,997 ",,,,,"1,658,746 ","1,677,219 ",,
