有効求人数（パートタイム）【実数】,,,,,,,,,,,,,,,,,,,,,有効求人数（パートタイム）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,81年,56年,"58,819 ","56,436 ","61,113 ","62,737 ","59,548 ","57,227 ","57,907 ","63,942 ","72,558 ","75,053 ","69,244 ","58,192 ","58,789 ","59,837 ","64,802 ","67,496 ","62,731 ","63,853 ",,81年,56年,"62,495 ","61,346 ","61,565 ","60,300 ","61,005 ","60,891 ","61,579 ","63,574 ","64,073 ","64,877 ","65,003 ","66,177 ","61,802 ","60,732 ","63,075 ","65,352 "
,82年,57年,"62,066 ","61,985 ","65,781 ","66,562 ","61,767 ","59,886 ","57,904 ","64,249 ","74,721 ","78,213 ","75,292 ","62,935 ","63,277 ","62,738 ","65,625 ","72,147 ","65,947 ","68,302 ",,82年,57年,"65,345 ","65,816 ","64,188 ","64,070 ","64,219 ","63,343 ","62,357 ","64,244 ","66,564 ","68,789 ","70,399 ","71,107 ","65,116 ","63,877 ","64,388 ","70,098 "
,83年,58年,"69,363 ","69,877 ","78,856 ","82,023 ","76,965 ","76,282 ","77,778 ","89,115 ","99,743 ","102,929 ","99,315 ","83,893 ","72,699 ","78,423 ","88,879 ","95,379 ","83,845 ","89,578 ",,83年,58年,"73,073 ","73,895 ","76,954 ","79,420 ","79,027 ","81,213 ","84,902 ","87,842 ","89,341 ","91,222 ","91,947 ","94,084 ","74,641 ","79,887 ","87,362 ","92,418 "
,84年,59年,"90,862 ","94,534 ","101,498 ","101,807 ","98,103 ","93,515 ","95,874 ","104,125 ","113,496 ","117,530 ","112,816 ","95,289 ","95,631 ","97,808 ","104,498 ","108,545 ","101,621 ","104,809 ",,84年,59年,"96,290 ","98,524 ","100,333 ","98,891 ","99,702 ","100,367 ","103,912 ","103,573 ","102,601 ","103,552 ","104,978 ","107,201 ","98,382 ","99,653 ","103,362 ","105,244 "
,85年,60年,"103,772 ","106,335 ","115,041 ","116,433 ","108,219 ","102,377 ","101,590 ","104,892 ","120,599 ","123,511 ","119,682 ","100,450 ","108,383 ","109,010 ","109,027 ","114,548 ","110,242 ","110,649 ",,85年,60年,"109,437 ","112,052 ","113,324 ","112,397 ","110,755 ","109,990 ","107,826 ","105,351 ","109,588 ","108,470 ","111,025 ","112,209 ","111,604 ","111,047 ","107,588 ","110,568 "
,86年,61年,"108,896 ","107,437 ","113,702 ","120,989 ","115,747 ","114,037 ","116,454 ","120,205 ","139,239 ","145,016 ","136,728 ","118,621 ","110,012 ","116,924 ","125,299 ","133,455 ","121,423 ","126,610 ",,86年,61年,"115,975 ","113,357 ","113,154 ","116,295 ","117,829 ","120,508 ","122,702 ","120,817 ","125,965 ","128,274 ","128,809 ","130,788 ","114,162 ","118,211 ","123,161 ","129,290 "
,87年,62年,"124,275 ","126,870 ","141,135 ","145,827 ","143,563 ","146,001 ","151,877 ","165,031 ","188,247 ","200,953 ","196,373 ","171,982 ","130,760 ","145,130 ","168,385 ","189,769 ","158,511 ","173,959 ",,87年,62年,"132,568 ","135,308 ","138,031 ","141,026 ","146,733 ","151,099 ","157,684 ","167,156 ","171,568 ","178,011 ","184,166 ","188,686 ","135,302 ","146,286 ","165,469 ","183,621 "
,88年,63年,"180,298 ","187,411 ","209,947 ","223,301 ","219,994 ","226,512 ","228,045 ","240,503 ","265,795 ","275,869 ","273,416 ","239,246 ","192,552 ","223,269 ","244,781 ","262,844 ","230,861 ","245,797 ",,88年,63年,"194,350 ","197,140 ","205,185 ","216,681 ","224,075 ","231,952 ","237,248 ","241,908 ","245,670 ","251,325 ","256,063 ","261,323 ","198,892 ","224,236 ","241,609 ","256,237 "
,89年,元年,"243,258 ","242,581 ","271,047 ","275,553 ","266,812 ","265,803 ","261,586 ","269,518 ","288,574 ","297,714 ","289,794 ","252,810 ","252,295 ","269,389 ","273,226 ","280,106 ","268,754 ","274,922 ",,89年,元年,"262,130 ","257,116 ","261,952 ","267,120 ","268,541 ","269,294 ","271,294 ","272,017 ","270,460 ","273,126 ","274,335 ","275,645 ","260,399 ","268,318 ","271,257 ","274,369 "
,90年,２年,"258,897 ","271,689 ","300,308 ","296,672 ","287,297 ","284,982 ","283,019 ","287,397 ","301,919 ","319,305 ","312,711 ","277,076 ","276,965 ","289,650 ","290,778 ","303,031 ","290,106 ","294,961 ",,90年,２年,"279,363 ","284,059 ","288,333 ","286,246 ","287,448 ","288,895 ","291,324 ","291,015 ","286,732 ","294,945 ","299,183 ","303,125 ","283,918 ","287,530 ","289,690 ","299,084 "
