有効求人数（新規学卒者を除きパートタイムを含む）【実数】,,,,,,,,,,,,,,,,,,,,,有効求人数（新規学卒者を除きパートタイムを含む）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,63年,38年,"590,293 ","758,803 ","937,851 ","1,043,508 ","1,056,669 ","1,047,319 ","922,103 ","872,221 ","923,306 ","955,696 ","871,970 ","734,456 ","762,316 ","1,049,165 ","905,877 ","854,041 ","892,850 ","955,870 ",,63年,38年,"686,372 ","740,567 ","795,821 ","853,742 ","902,943 ","1,029,473 ","991,559 ","929,361 ","922,133 ","929,578 ","951,003 ","956,825 ","740,920 ","928,719 ","947,684 ","945,802 "
,64年,39年,"854,714 ","1,020,182 ","1,168,299 ","1,234,290 ","1,211,486 ","1,096,821 ","994,124 ","982,246 ","1,069,613 ","1,052,492 ","916,414 ","760,655 ","1,014,398 ","1,180,866 ","1,015,328 ","909,854 ","1,030,111 ","1,010,106 ",,64年,39年,"983,914 ","995,461 ","983,487 ","1,006,632 ","1,049,237 ","1,075,751 ","1,074,206 ","1,063,660 ","1,049,372 ","1,016,451 ","1,008,846 ","986,725 ","987,621 ","1,043,873 ","1,062,413 ","1,004,007 "
,65年,40年,"808,456 ","921,529 ","1,073,143 ","1,068,670 ","926,107 ","774,107 ","677,664 ","663,369 ","713,782 ","730,589 ","647,410 ","517,612 ","934,376 ","922,961 ","684,938 ","631,870 ","793,537 ","758,214 ",,65年,40年,"936,354 ","900,706 ","887,557 ","868,952 ","811,887 ","773,223 ","741,317 ","716,131 ","701,759 ","705,113 ","697,337 ","665,028 ","908,206 ","818,021 ","719,736 ","689,159 "
,66年,41年,"616,415 ","776,548 ","986,300 ","1,042,211 ","967,520 ","864,589 ","767,498 ","875,567 ","1,007,133 ","1,054,505 ","957,973 ","790,873 ","793,088 ","958,107 ","883,399 ","934,450 ","892,261 ","970,706 ",,66年,41年,"704,972 ","756,732 ","817,788 ","853,266 ","868,535 ","880,477 ","860,921 ","942,213 ","984,834 ","1,016,621 ","1,016,985 ","1,005,876 ","759,831 ","867,426 ","929,323 ","1,013,161 "
,67年,42年,"948,089 ","1,091,852 ","1,280,663 ","1,319,839 ","1,237,937 ","1,114,367 ","1,025,394 ","1,141,934 ","1,274,190 ","1,283,192 ","1,183,517 ","999,260 ","1,106,868 ","1,224,048 ","1,147,173 ","1,155,323 ","1,158,353 ","1,203,336 ",,67年,42年,"1,041,669 ","1,071,283 ","1,078,108 ","1,107,914 ","1,123,383 ","1,144,358 ","1,166,133 ","1,219,592 ","1,231,617 ","1,228,718 ","1,242,166 ","1,242,509 ","1,063,687 ","1,125,218 ","1,205,781 ","1,237,798 "
,68年,43年,"1,156,863 ","1,280,706 ","1,422,830 ","1,430,790 ","1,314,786 ","1,175,872 ","1,104,140 ","1,175,116 ","1,304,933 ","1,328,554 ","1,247,978 ","1,064,791 ","1,286,800 ","1,307,149 ","1,194,730 ","1,213,774 ","1,250,613 ","1,269,939 ",,68年,43年,"1,250,405 ","1,228,306 ","1,211,588 ","1,203,472 ","1,212,663 ","1,233,848 ","1,248,877 ","1,252,804 ","1,261,624 ","1,255,841 ","1,280,338 ","1,285,367 ","1,230,100 ","1,216,661 ","1,254,435 ","1,273,849 "
,69年,44年,"1,228,169 ","1,344,449 ","1,519,693 ","1,558,355 ","1,444,234 ","1,321,870 ","1,260,032 ","1,331,122 ","1,496,243 ","1,579,741 ","1,466,948 ","1,294,870 ","1,364,104 ","1,441,486 ","1,362,466 ","1,447,186 ","1,403,811 ","1,463,534 ",,69年,44年,"1,297,179 ","1,308,398 ","1,318,123 ","1,339,712 ","1,362,038 ","1,392,785 ","1,417,406 ","1,431,730 ","1,442,204 ","1,484,266 ","1,497,784 ","1,541,186 ","1,307,900 ","1,364,845 ","1,430,447 ","1,507,745 "
,70年,45年,"1,458,205 ","1,587,090 ","1,763,692 ","1,747,085 ","1,575,112 ","1,446,366 ","1,330,704 ","1,383,436 ","1,555,565 ","1,574,447 ","1,434,049 ","1,232,012 ","1,602,996 ","1,589,521 ","1,423,235 ","1,413,503 ","1,507,314 ","1,472,027 ",,70年,45年,"1,576,327 ","1,540,100 ","1,520,466 ","1,512,716 ","1,509,794 ","1,520,094 ","1,499,487 ","1,486,123 ","1,493,791 ","1,476,415 ","1,463,576 ","1,451,761 ","1,545,631 ","1,514,201 ","1,493,134 ","1,463,917 "
,71年,46年,"1,338,086 ","1,423,252 ","1,624,210 ","1,547,044 ","1,376,981 ","1,221,968 ","1,139,638 ","1,198,547 ","1,308,139 ","1,327,444 ","1,221,100 ","1,057,000 ","1,461,849 ","1,381,998 ","1,215,441 ","1,201,848 ","1,315,284 ","1,275,836 ",,71年,46年,"1,439,194 ","1,393,759 ","1,376,069 ","1,356,929 ","1,333,704 ","1,284,345 ","1,288,719 ","1,271,696 ","1,248,298 ","1,238,939 ","1,233,153 ","1,239,205 ","1,403,007 ","1,324,993 ","1,269,571 ","1,237,099 "
,72年,47年,"1,120,766 ","1,277,221 ","1,514,189 ","1,460,109 ","1,381,234 ","1,284,208 ","1,223,926 ","1,385,080 ","1,571,643 ","1,662,517 ","1,545,217 ","1,412,442 ","1,304,059 ","1,375,184 ","1,393,550 ","1,540,059 ","1,403,213 ","1,563,359 ",,72年,47年,"1,211,340 ","1,251,112 ","1,283,089 ","1,307,888 ","1,324,266 ","1,352,472 ","1,390,771 ","1,443,652 ","1,503,794 ","1,553,031 ","1,557,836 ","1,686,712 ","1,248,514 ","1,328,209 ","1,446,072 ","1,599,193 "
