LASSO,,,,,,,,,,,,,,,,,,,,
,overnight,IPtotal,CPI,3m,10y,MonetaryBase,M2,ExcRate,N42,CapUtil,Consumption,spread,HousingStarts,machineryOrders,TOPIX,Wages,totalHour,EmpInd,disIncome,NewJobOffer
Consumption,0,0.034027778,0.0125,0.001388889,0,0,0,0,0.015625,0,0.003472222,0.001041667,0,0.007986111,0,0,0.099652778,0.026736111,0.008680556,0
Employment&Hours,0,0.010243056,0.003298611,0.005034722,0,0,0,0.001215278,0.003993056,0,0,0.001736111,0,0.000260417,0,0.000607639,0.040538194,0.003559028,0,0.000607639
Exchange-Rates,0,0.003240741,0.027314815,0,0,0,0,0.001851852,0.012037037,0,0,0.011574074,0,0,0,0,0.002777778,0,0,0
Housing-Starts&Sales,0,0.001215278,0.010416667,0.000868056,0,0,0,0,0.000173611,0,0,0,0,0,0,0,0.0234375,0.004861111,0,0
Interest-Rates,0.000648148,0.010185185,0.001018519,0.001759259,0,0,0,0,0.001666667,0,0,0.012962963,0,0,0,0.001851852,0.022685185,0.002222222,9.26E-05,0.000833333
Inventories&Orders,5.34E-05,0.020726496,0.014529915,0.001923077,0,0,0,0.003952991,0.009615385,0,0.001175214,0.006570513,0,0.005448718,0,0.000801282,0.024679487,0.008547009,0.000267094,0
Money&Credit-Quantity-Aggregate,0,0.01558642,0.006481481,0.000154321,0,0,0,0,0.00154321,0,0,0.015432099,0,0.000462963,0,0.000462963,0.061882716,0.000617284,0,0
Output&Income,0.000297619,0.00625,0.022420635,0.000694444,0,0,0,0.004265873,0.007936508,0,0,0.004662698,0,0,0,0.001587302,0.019642857,0.006944444,0.00297619,0
Price-Indices&Wages,0.000189394,0.018686869,0.020896465,0.002651515,0,0.000189394,0,0.005050505,0.02114899,0.002209596,0.001893939,0.02114899,0,0.001641414,6.31E-05,0.001515152,0.035479798,0.006186869,0.004229798,0
Retail&Manufacturing&Trade-Sales,0.001388889,0.009722222,0.012731481,0.00162037,0,0,0,0.000925926,0.00625,0,0,0.000231481,0,0.016435185,0,0.016666667,0.082638889,0.000925926,0.028009259,0
Stock-Prices,0.003472222,0.010763889,0.022569444,0.007638889,0,0,0,0.022569444,0.031944444,0,0,0.027430556,0,0,0,0,0.019444444,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ENET,,,,,,,,,,,,,,,,,,,,
,overnight,IPtotal,CPI,3m,10y,MonetaryBase,M2,ExcRate,N42,CapUtil,Consumption,spread,HousingStarts,machineryOrders,TOPIX,Wages,totalHour,EmpInd,disIncome,NewJobOffer
Consumption,0.004166667,0.432291667,0.089583333,0.034375,0,0.069791667,0.939583333,0.138541667,0.175,0.154166667,0.13125,0.007291667,0,0.409375,0,0.169791667,0.301041667,0.6375,0.028125,0.847916667
Employment&Hours,0.072135417,0.272916667,0.3828125,0.266927083,0,0.020833333,0.928385417,0.229427083,0.096354167,0.052083333,0.011197917,0.098958333,0,0.340885417,0,0.052604167,0.124479167,0.150260417,0,0.617447917
Exchange-Rates,0.015277778,0.148611111,0.704166667,0.115277778,0,0,1.444444444,0.570833333,0.191666667,0.063888889,0,0.336111111,0,0.659722222,0,0.008333333,0.009722222,0.231944444,0,0.715277778
Housing-Starts&Sales,0.186458333,0.159895833,0.302083333,0.169270833,0,0,1.236458333,0.166666667,0.03125,0.002604167,0.000520833,0.000520833,0,0.486979167,0,0.020833333,0.075,0.216666667,0,0.469270833
Interest-Rates,0.067777778,0.260833333,0.138333333,0.131944444,0,0,0.55,0.101666667,0.048888889,0.067222222,0.0325,0.091666667,0,0.224722222,0,0.100555556,0.069722222,0.170277778,0.000277778,0.511666667
Inventories&Orders,0.004326923,0.450801282,0.267788462,0.091346154,0,0.004807692,1.169711538,0.291666667,0.204807692,0.179967949,0.047916667,0.102564103,0.019230769,0.488621795,0,0.131891026,0.076602564,0.346634615,0.000961538,0.703365385
