"","overnight","IPtotal","CPI","3m","10y","MonetaryBase","M2","ExcRate","N42","CapUtil","Consumption","spread","HousingStarts","machineryOrders","TOPIX","Wages","totalHour","EmpInd","disIncome","NewJobOffer"
"LASSO4_h1",0.6192733279902,0.907496379242178,0.64333765447523,0.403965126980836,0.740870471366295,1.10934221330814,0.792651716362502,0.699462693957857,1.20945010521457,0.927455743685677,0.990213426414579,1.17039866636379,0.779719679386111,1.11768121128159,0.795339262116199,1.31178472711289,0.658123665378643,0.988857605848231,1.28242923351886,1.26326008052988
"LASSO1_h1",0.64722606719811,0.907496379242178,0.622240363674791,0.404058556513155,0.741662523523612,1.08985033637557,0.79260455247637,0.763661711449634,1.16257162984186,0.930634923323481,0.990213426414579,2.10614911925327,0.779719679386111,0.954011324230942,0.795339262116199,1.20639178821807,0.634471341940169,1.00069013608841,1.24585970192767,1.26340279546231
"ENET4_h1",0.619333256601406,0.968575693531129,0.593614639314627,0.404069225482858,0.740870471366295,1.10934221330814,0.820932494472742,0.711703619916831,1.21626576584361,0.927486297644879,0.990213426414579,1.14251221063311,0.779719679386111,1.11975295881255,0.795339262116199,1.25487605854207,0.657121100211112,0.977935812930337,1.27883951263088,1.26636535020162
"ENET1_h1",0.648989359455074,0.883349683220089,0.632816227762054,0.403009821838458,0.741658042042181,1.09302370119671,0.756110051932979,0.7877632536716,1.14804647461449,0.939826766357459,0.990213426414579,2.10674395366465,0.739831925914373,0.961315996309976,0.797467773107816,1.20082448682385,0.628796598334156,1.00100911246954,1.23829502243868,1.2632095076672
"gLASSO4_h1",0.668321681060578,0.907496379242178,0.69117835808002,0.397562158376685,0.740870471366295,1.10845142980066,0.780308109356362,0.713772548783761,1.13852624058637,0.927455743685677,0.990213426414579,6.50080551899437,0.771360060025744,1.14356720451608,0.795339262116199,1.26954131590137,0.68850364417034,1.04366049929294,1.37555502535136,1.32332088828923
"gLASSO1_h1",0.635132065737852,0.907496379242178,0.727778216059402,0.408162288760385,0.740870471366295,1.08437955978281,0.748807939009562,0.706533599751965,1.1245524683662,0.997738951358312,0.990213426414579,5.25559740381697,0.76738160131181,1.15332313031212,0.795239388152425,1.26954131590137,0.671801566968772,0.99962969785575,1.24707985191346,1.26666266978889
"LASSO4_h3",0.623065616970987,1.67021477349137,0.573917737900062,0.455401173034388,0.72975191181512,1.20658267372319,0.809318397528961,0.672988397387101,0.904436375018465,1.23977950881151,0.887898212181251,1.41057953722358,0.87030666425082,0.800166904866796,0.784315867981379,0.773606757945734,1.13165450031585,0.848527724581871,0.834371927493064,0.99506203294696
"LASSO1_h3",0.609177450712554,1.01248516015696,0.578022971980749,0.459851823670916,0.72975191181512,1.20283398930244,0.809318397528961,0.672988397387101,0.88748867681707,1.06362135972084,1.10015065092062,1.40009688078932,0.87030666425082,0.815919411465452,0.784306522198224,0.793310958514418,1.10610501570238,0.841354098062309,0.834371927493064,0.992947558706504
"ENET4_h3",0.622726260842219,1.67154961779764,0.571029072531485,0.450045533563435,0.72975191181512,1.20171336921848,0.820485970999871,0.672988397387101,0.895435889643757,1.23814208549945,0.925277636910472,1.41370735581067,0.87147354186277,0.771376946806012,0.78431241839467,0.777389248925705,1.13557631917543,0.849215575252707,0.834371927493064,0.977944577798875
"ENET1_h3",0.610121586724158,1.01248516015696,0.556363873622157,0.457257991181931,0.72975191181512,1.20145697042898,0.848208841269123,0.672988397387101,0.889717637425532,1.06362135972084,1.1098673943923,1.40452115681794,0.870876834450238,0.815319024877793,0.784686356595008,0.794749730438919,1.10694481821919,0.840486259830317,0.834371927493064,0.967307898566936
